Year,County,PDI Number,PDI,Observed,Expected,"Risk Adjusted Rate Per 100,000 People",Difference in Rates
2009,Schenectady,PDI_90,Pediatric Quality Overall Composite,176.76,223.48,211.54,-46.72
2010,Schenectady,PDI_90,Pediatric Quality Overall Composite,106.66,198.9,126.32,-92.23
2011,Schenectady,PDI_90,Pediatric Quality Overall Composite,134.91,199.83,156.1,-64.93
2012,Schenectady,PDI_90,Pediatric Quality Overall Composite,100.49,240.65,93.82,-140.16
2009,Schenectady,PDI_91,Pediatric Quality Acute Composite,84.17,65.77,93.72,18.4
2010,Schenectady,PDI_91,Pediatric Quality Acute Composite,51.2,64.93,56.25,-13.73
2011,Schenectady,PDI_91,Pediatric Quality Acute Composite,50.59,58.86,54.82,-8.27
2012,Schenectady,PDI_91,Pediatric Quality Acute Composite,36.18,65.6,31.93,-29.43
2009,Schenectady,PDI_92,Pediatric Quality Chronic Composite,92.59,157.71,114.03,-65.12
2010,Schenectady,PDI_92,Pediatric Quality Chronic Composite,55.47,133.97,67.99,-78.51
2011,Schenectady,PDI_92,Pediatric Quality Chronic Composite,84.32,140.97,100.15,-56.66
2012,Schenectady,PDI_92,Pediatric Quality Chronic Composite,64.31,175.05,61.27,-110.73
2009,Schoharie,PDI_14,Asthma,49.13,121.48,98.22,-72.34
2010,Schoharie,PDI_14,Asthma,100.17,98.13,210.03,2.03
2011,Schoharie,PDI_14,Asthma,50.13,98.74,104.74,-48.6
2012,Schoharie,PDI_14,Asthma,30.27,95.77,66.49,-65.5
2009,Schoharie,PDI_15,Diabetes Short-term Complications,65.33,23.4,77.39,41.93
2010,Schoharie,PDI_15,Diabetes Short-term Complications,22.32,20.92,26.39,1.4
2011,Schoharie,PDI_15,Diabetes Short-term Complications,0,21.91,0,-21.91
2012,Schoharie,PDI_15,Diabetes Short-term Complications,0,18.85,0,-18.85
2009,Schoharie,PDI_16,Gastroenteritis,31.39,102.35,39.97,-70.96
2010,Schoharie,PDI_16,Gastroenteritis,47.93,69.52,70.69,-21.59
2011,Schoharie,PDI_16,Gastroenteritis,95.99,76.25,125.6,19.74
2012,Schoharie,PDI_16,Gastroenteritis,29.04,57.72,44.22,-28.68
2009,Schoharie,PDI_18,Urinary Tract Infection,0,28.16,0,-28.16
2010,Schoharie,PDI_18,Urinary Tract Infection,0,28.58,0,-28.58
2011,Schoharie,PDI_18,Urinary Tract Infection,32,26.11,48.46,5.88
2012,Schoharie,PDI_18,Urinary Tract Infection,14.52,23.93,20.65,-9.41
2009,Schoharie,PDI_90,Pediatric Quality Overall Composite,108.89,163.62,177.98,-54.74
2010,Schoharie,PDI_90,Pediatric Quality Overall Composite,111.61,141.7,185.53,-30.09
2011,Schoharie,PDI_90,Pediatric Quality Overall Composite,88.89,142.98,143.75,-54.09
2012,Schoharie,PDI_90,Pediatric Quality Overall Composite,20.01,127.5,35.26,-107.48
2009,Schoharie,PDI_91,Pediatric Quality Acute Composite,0,57.73,0,-57.73
2010,Schoharie,PDI_91,Pediatric Quality Acute Composite,22.32,57.01,27.93,-34.69
2011,Schoharie,PDI_91,Pediatric Quality Acute Composite,66.67,52.2,81.45,14.47
2012,Schoharie,PDI_91,Pediatric Quality Acute Composite,20.01,43.99,26.34,-23.98
2009,Schoharie,PDI_92,Pediatric Quality Chronic Composite,108.89,105.89,199.72,2.99
2010,Schoharie,PDI_92,Pediatric Quality Chronic Composite,89.29,84.7,173.12,4.59
2011,Schoharie,PDI_92,Pediatric Quality Chronic Composite,22.22,90.78,40.99,-68.56
2012,Schoharie,PDI_92,Pediatric Quality Chronic Composite,0,83.5,0,-83.5
2009,Schuyler,PDI_14,Asthma,53.29,126.58,102.23,-73.29
2010,Schuyler,PDI_14,Asthma,110.68,104.59,217.76,6.09
2011,Schuyler,PDI_14,Asthma,85.42,105.85,166.47,-20.43
2012,Schuyler,PDI_14,Asthma,0,101.43,0,-101.43
2009,Schuyler,PDI_15,Diabetes Short-term Complications,34.93,23.72,40.82,11.21
2010,Schuyler,PDI_15,Diabetes Short-term Complications,36.31,20.51,43.78,15.8
2011,Schuyler,PDI_15,Diabetes Short-term Complications,37.47,21.81,42.86,15.66
2012,Schuyler,PDI_15,Diabetes Short-term Complications,0,18.37,0,-18.37
2009,Schuyler,PDI_16,Gastroenteritis,153.02,100.43,198.58,52.59
2010,Schuyler,PDI_16,Gastroenteritis,52.88,70.7,76.7,-17.81
2011,Schuyler,PDI_16,Gastroenteritis,190.53,77.38,245.66,113.15
2012,Schuyler,PDI_16,Gastroenteritis,78.62,59.18,116.75,19.44
2009,Schuyler,PDI_18,Urinary Tract Infection,76.51,27.53,121.58,48.98
2010,Schuyler,PDI_18,Urinary Tract Infection,105.76,28.55,155.92,77.22
2011,Schuyler,PDI_18,Urinary Tract Infection,81.66,26.18,123.34,55.47
2012,Schuyler,PDI_18,Urinary Tract Infection,0,23.65,0,-23.65
2009,Schuyler,PDI_90,Pediatric Quality Overall Composite,104.79,165.01,169.85,-60.22
2010,Schuyler,PDI_90,Pediatric Quality Overall Composite,217.87,143.28,358.17,74.58
2011,Schuyler,PDI_90,Pediatric Quality Overall Composite,224.8,143.88,361.27,80.92
2012,Schuyler,PDI_90,Pediatric Quality Overall Composite,71.53,124.8,128.77,-53.27
2009,Schuyler,PDI_91,Pediatric Quality Acute Composite,69.86,56.87,89.96,12.99
2010,Schuyler,PDI_91,Pediatric Quality Acute Composite,108.93,56.09,138.54,52.84
2011,Schuyler,PDI_91,Pediatric Quality Acute Composite,149.87,51.52,185.52,98.35
2012,Schuyler,PDI_91,Pediatric Quality Acute Composite,71.53,42.9,96.57,28.64
2009,Schuyler,PDI_92,Pediatric Quality Chronic Composite,34.93,108.14,62.74,-73.21
2010,Schuyler,PDI_92,Pediatric Quality Chronic Composite,108.93,87.19,205.17,21.74
2011,Schuyler,PDI_92,Pediatric Quality Chronic Composite,74.93,92.36,135.85,-17.43
2012,Schuyler,PDI_92,Pediatric Quality Chronic Composite,0,81.9,0,-81.9
2009,Seneca,PDI_14,Asthma,62.75,132.97,114.59,-70.23
2010,Seneca,PDI_14,Asthma,48.3,109.48,90.78,-61.18
2011,Seneca,PDI_14,Asthma,78.05,111.4,144.53,-33.34
2012,Seneca,PDI_14,Asthma,43.09,109.78,82.57,-66.69
2009,Seneca,PDI_15,Diabetes Short-term Complications,0,23.61,0,-23.61
2010,Seneca,PDI_15,Diabetes Short-term Complications,21.91,20.48,26.46,1.43
2011,Seneca,PDI_15,Diabetes Short-term Complications,0,21.31,0,-21.31
2012,Seneca,PDI_15,Diabetes Short-term Complications,0,18.49,0,-18.49
2009,Seneca,PDI_16,Gastroenteritis,44.67,109.45,53.19,-64.78
2010,Seneca,PDI_16,Gastroenteritis,0,75.88,0,-75.88
2011,Seneca,PDI_16,Gastroenteritis,14.8,83,17.8,-68.19
2012,Seneca,PDI_16,Gastroenteritis,13.63,65.26,18.36,-51.63
2009,Seneca,PDI_18,Urinary Tract Infection,29.78,30.75,42.37,-0.97
2010,Seneca,PDI_18,Urinary Tract Infection,15.26,31.21,20.58,-15.95
2011,Seneca,PDI_18,Urinary Tract Infection,14.8,28.51,20.53,-13.71
2012,Seneca,PDI_18,Urinary Tract Infection,68.15,26.35,88,41.8
2009,Seneca,PDI_90,Pediatric Quality Overall Composite,42.53,171.94,66.15,-129.42
2010,Seneca,PDI_90,Pediatric Quality Overall Composite,21.91,147.57,34.97,-125.66
2011,Seneca,PDI_90,Pediatric Quality Overall Composite,107.11,149.09,166.12,-41.98
2012,Seneca,PDI_90,Pediatric Quality Overall Composite,97.39,129.07,169.52,-31.68
2009,Seneca,PDI_91,Pediatric Quality Acute Composite,21.26,59.32,26.25,-38.05
2010,Seneca,PDI_91,Pediatric Quality Acute Composite,0,57.89,0,-57.89
2011,Seneca,PDI_91,Pediatric Quality Acute Composite,21.42,53.3,25.63,-31.88
2012,Seneca,PDI_91,Pediatric Quality Acute Composite,38.96,43.8,51.5,-4.85
2009,Seneca,PDI_92,Pediatric Quality Chronic Composite,21.26,112.63,36.67,-91.37
2010,Seneca,PDI_92,Pediatric Quality Chronic Composite,21.91,89.67,40.12,-67.77
2011,Seneca,PDI_92,Pediatric Quality Chronic Composite,85.69,95.79,149.79,-10.1
2012,Seneca,PDI_92,Pediatric Quality Chronic Composite,58.43,85.27,114.28,-26.83
2009,St Lawrence,PDI_14,Asthma,122.72,124.76,238.87,-2.04
2010,St Lawrence,PDI_14,Asthma,76.11,103.5,151.32,-27.39
2011,St Lawrence,PDI_14,Asthma,101.74,103.2,203.37,-1.46
2012,St Lawrence,PDI_14,Asthma,108.73,108.11,211.6,0.62
2009,St Lawrence,PDI_15,Diabetes Short-term Complications,32.55,23.18,38.92,9.37
2010,St Lawrence,PDI_15,Diabetes Short-term Complications,6.65,20.45,8.04,-13.8
2011,St Lawrence,PDI_15,Diabetes Short-term Complications,12.86,21.14,15.18,-8.28
2012,St Lawrence,PDI_15,Diabetes Short-term Complications,18.03,18.83,22.73,-0.8
2009,St Lawrence,PDI_16,Gastroenteritis,384.87,110.46,454.1,274.41
2010,St Lawrence,PDI_16,Gastroenteritis,135.1,74.72,185.4,60.38
2011,St Lawrence,PDI_16,Gastroenteritis,131.52,82.62,158.8,48.89
2012,St Lawrence,PDI_16,Gastroenteritis,127.81,64.91,173.04,62.9
2009,St Lawrence,PDI_18,Urinary Tract Infection,62.65,29.89,91.7,32.76
2010,St Lawrence,PDI_18,Urinary Tract Infection,67.55,30.34,93.71,37.21
2011,St Lawrence,PDI_18,Urinary Tract Infection,35.07,27.86,49.78,7.21
2012,St Lawrence,PDI_18,Urinary Tract Infection,20.61,26.79,26.18,-6.18
2009,St Lawrence,PDI_90,Pediatric Quality Overall Composite,299.5,160.78,498.21,138.72
2010,St Lawrence,PDI_90,Pediatric Quality Overall Composite,232.61,138.92,394.4,93.68
2011,St Lawrence,PDI_90,Pediatric Quality Overall Composite,180.08,140.75,295.83,39.33
2012,St Lawrence,PDI_90,Pediatric Quality Overall Composite,150.25,129.43,260.81,20.82
2009,St Lawrence,PDI_91,Pediatric Quality Acute Composite,188.81,58.03,238.28,130.79
2010,St Lawrence,PDI_91,Pediatric Quality Acute Composite,186.08,56.83,233.57,129.25
2011,St Lawrence,PDI_91,Pediatric Quality Acute Composite,90.04,52.73,108.92,37.31
2012,St Lawrence,PDI_91,Pediatric Quality Acute Composite,42.07,45.08,54.05,-3.01
2009,St Lawrence,PDI_92,Pediatric Quality Chronic Composite,110.68,102.75,209.22,7.93
2010,St Lawrence,PDI_92,Pediatric Quality Chronic Composite,46.52,82.09,93.06,-35.57
2011,St Lawrence,PDI_92,Pediatric Quality Chronic Composite,90.04,88.02,171.28,2.02
2012,St Lawrence,PDI_92,Pediatric Quality Chronic Composite,108.18,84.35,213.87,23.83
2009,Steuben,PDI_14,Asthma,118.81,125.76,229.42,-6.95
2010,Steuben,PDI_14,Asthma,105.52,105,206.8,0.53
2011,Steuben,PDI_14,Asthma,72.99,105.6,142.59,-32.6
2012,Steuben,PDI_14,Asthma,68.95,107.45,135.01,-38.5
2009,Steuben,PDI_15,Diabetes Short-term Complications,74.37,22.8,90.4,51.57
2010,Steuben,PDI_15,Diabetes Short-term Complications,69.06,20.18,84.65,48.88
2011,Steuben,PDI_15,Diabetes Short-term Complications,73.55,20.92,87.7,52.63
2012,Steuben,PDI_15,Diabetes Short-term Complications,50.14,18.36,64.81,31.78
2009,Steuben,PDI_16,Gastroenteritis,136.57,107.18,166.07,29.39
2010,Steuben,PDI_16,Gastroenteritis,85.93,73.13,120.48,12.8
2011,Steuben,PDI_16,Gastroenteritis,161.75,81,199.23,80.75
2012,Steuben,PDI_16,Gastroenteritis,43.71,63.03,60.94,-19.33
2009,Steuben,PDI_18,Urinary Tract Infection,47.09,29.26,70.41,17.83
2010,Steuben,PDI_18,Urinary Tract Infection,57.29,29.93,80.55,27.36
2011,Steuben,PDI_18,Urinary Tract Infection,23.11,27.58,33.13,-4.48
2012,Steuben,PDI_18,Urinary Tract Infection,21.85,25.9,28.7,-4.05
2009,Steuben,PDI_90,Pediatric Quality Overall Composite,182.54,161.56,302.21,20.99
2010,Steuben,PDI_90,Pediatric Quality Overall Composite,234.79,141.18,391.75,93.62
2011,Steuben,PDI_90,Pediatric Quality Overall Composite,180.53,142.08,293.8,38.45
2012,Steuben,PDI_90,Pediatric Quality Overall Composite,150.42,130.09,259.78,20.33
2009,Steuben,PDI_91,Pediatric Quality Acute Composite,67.61,57.5,86.11,10.11
2010,Steuben,PDI_91,Pediatric Quality Acute Composite,110.49,56.61,139.23,53.88
2011,Steuben,PDI_91,Pediatric Quality Acute Composite,66.86,51.97,82.06,14.9
2012,Steuben,PDI_91,Pediatric Quality Acute Composite,43.87,44.17,57.52,-0.3
2009,Steuben,PDI_92,Pediatric Quality Chronic Composite,114.94,104.06,214.53,10.88
2010,Steuben,PDI_92,Pediatric Quality Chronic Composite,124.3,84.56,241.39,39.74
2011,Steuben,PDI_92,Pediatric Quality Chronic Composite,113.67,90.11,211.22,23.56
2012,Steuben,PDI_92,Pediatric Quality Chronic Composite,106.55,85.92,206.8,20.63
2009,Suffolk,PDI_14,Asthma,161.89,185.49,211.94,-23.6
2010,Suffolk,PDI_14,Asthma,122.12,154.05,163.12,-31.93
2011,Suffolk,PDI_14,Asthma,129.97,154.97,173.01,-25
2012,Suffolk,PDI_14,Asthma,141,160.82,184.45,-19.83
2009,Suffolk,PDI_15,Diabetes Short-term Complications,20.85,25.54,22.63,-4.69
2010,Suffolk,PDI_15,Diabetes Short-term Complications,20.53,22.64,22.43,-2.11
2011,Suffolk,PDI_15,Diabetes Short-term Complications,25.13,23.28,26.92,1.84
2012,Suffolk,PDI_15,Diabetes Short-term Complications,20.37,21.48,22.51,-1.11
2009,Suffolk,PDI_16,Gastroenteritis,124.11,119.43,135.44,4.68
2010,Suffolk,PDI_16,Gastroenteritis,84.19,87.94,98.16,-3.75
2011,Suffolk,PDI_16,Gastroenteritis,88.09,89.69,97.99,-1.6
2012,Suffolk,PDI_16,Gastroenteritis,70.55,77.06,80.46,-6.51
2009,Suffolk,PDI_18,Urinary Tract Infection,50.77,38.13,58.26,12.65
2010,Suffolk,PDI_18,Urinary Tract Infection,43.88,37.16,49.7,6.72
2011,Suffolk,PDI_18,Urinary Tract Infection,46.12,34.83,52.36,11.29
2012,Suffolk,PDI_18,Urinary Tract Infection,35.41,30.99,38.87,4.42
2009,Suffolk,PDI_90,Pediatric Quality Overall Composite,194.17,220.43,235.59,-26.26
2010,Suffolk,PDI_90,Pediatric Quality Overall Composite,155.96,192.17,191.16,-36.21
2011,Suffolk,PDI_90,Pediatric Quality Overall Composite,184.65,191.51,222.94,-6.86
2012,Suffolk,PDI_90,Pediatric Quality Overall Composite,164.12,185.63,198.63,-21.51
2009,Suffolk,PDI_91,Pediatric Quality Acute Composite,62.54,67.51,67.85,-4.97
2010,Suffolk,PDI_91,Pediatric Quality Acute Composite,54.49,65.29,59.53,-10.81
2011,Suffolk,PDI_91,Pediatric Quality Acute Composite,56.63,59.81,60.39,-3.18
2012,Suffolk,PDI_91,Pediatric Quality Acute Composite,50.14,53.14,54.64,-3
2009,Suffolk,PDI_92,Pediatric Quality Chronic Composite,131.63,152.92,167.18,-21.3
2010,Suffolk,PDI_92,Pediatric Quality Chronic Composite,101.47,126.88,131.33,-25.41
2011,Suffolk,PDI_92,Pediatric Quality Chronic Composite,128.02,131.7,162.76,-3.69
2012,Suffolk,PDI_92,Pediatric Quality Chronic Composite,113.98,132.49,143.46,-18.51
2009,Sullivan,PDI_14,Asthma,121.43,187.26,157.46,-65.83
2010,Sullivan,PDI_14,Asthma,92.4,158.22,120.18,-65.81
2011,Sullivan,PDI_14,Asthma,105.3,159.64,136.07,-54.34
2012,Sullivan,PDI_14,Asthma,46.56,173.47,56.47,-126.91
2009,Sullivan,PDI_15,Diabetes Short-term Complications,16.67,26.18,17.65,-9.51
2010,Sullivan,PDI_15,Diabetes Short-term Complications,34.12,23.31,36.19,10.8
2011,Sullivan,PDI_15,Diabetes Short-term Complications,25.8,23.83,27.01,1.97
2012,Sullivan,PDI_15,Diabetes Short-term Complications,16.12,22.79,16.79,-6.67
2009,Sullivan,PDI_16,Gastroenteritis,172.97,120.91,186.45,52.06
2010,Sullivan,PDI_16,Gastroenteritis,134.46,90.41,152.49,44.05
2011,Sullivan,PDI_16,Gastroenteritis,111.54,92.81,119.91,18.74
2012,Sullivan,PDI_16,Gastroenteritis,60.72,82.09,65.01,-21.37
2009,Sullivan,PDI_18,Urinary Tract Infection,46.13,38.16,52.88,7.96
2010,Sullivan,PDI_18,Urinary Tract Infection,35.08,37.82,39.03,-2.75
2011,Sullivan,PDI_18,Urinary Tract Infection,11.74,35.46,13.09,-23.72
2012,Sullivan,PDI_18,Urinary Tract Infection,22.08,33.21,22.62,-11.13
2009,Sullivan,PDI_90,Pediatric Quality Overall Composite,175.02,219.33,213.42,-44.32
2010,Sullivan,PDI_90,Pediatric Quality Overall Composite,213.22,192.18,261.34,21.04
2011,Sullivan,PDI_90,Pediatric Quality Overall Composite,154.77,191.28,187.09,-36.51
2012,Sullivan,PDI_90,Pediatric Quality Overall Composite,80.59,192.28,94.16,-111.69
2009,Sullivan,PDI_91,Pediatric Quality Acute Composite,75.01,67.54,81.33,7.47
2010,Sullivan,PDI_91,Pediatric Quality Acute Composite,119.4,65.66,129.73,53.74
2011,Sullivan,PDI_91,Pediatric Quality Acute Composite,68.79,60.07,73.03,8.72
2012,Sullivan,PDI_91,Pediatric Quality Acute Composite,40.29,55.18,42.28,-14.89
2009,Sullivan,PDI_92,Pediatric Quality Chronic Composite,100.01,151.8,127.96,-51.79
2010,Sullivan,PDI_92,Pediatric Quality Chronic Composite,93.82,126.52,121.77,-32.71
2011,Sullivan,PDI_92,Pediatric Quality Chronic Composite,85.99,131.2,109.73,-45.22
2012,Sullivan,PDI_92,Pediatric Quality Chronic Composite,40.29,137.09,49.01,-96.8
2009,Tioga,PDI_14,Asthma,56.7,120.4,114.35,-63.7
2010,Tioga,PDI_14,Asthma,19.3,99.32,39.98,-80.02
2011,Tioga,PDI_14,Asthma,46.26,99.02,96.37,-52.76
2012,Tioga,PDI_14,Asthma,87.43,92.7,198.43,-5.27
2009,Tioga,PDI_15,Diabetes Short-term Complications,37.95,22.72,46.3,15.23
2010,Tioga,PDI_15,Diabetes Short-term Complications,26.08,20.28,31.8,5.8
2011,Tioga,PDI_15,Diabetes Short-term Complications,37.35,20.79,44.81,16.56
2012,Tioga,PDI_15,Diabetes Short-term Complications,23.35,17.79,31.14,5.55
2009,Tioga,PDI_16,Gastroenteritis,71.94,103.88,90.26,-31.94
2010,Tioga,PDI_16,Gastroenteritis,54.99,70.88,79.54,-15.9
2011,Tioga,PDI_16,Gastroenteritis,35.21,77.93,45.07,-42.72
2012,Tioga,PDI_16,Gastroenteritis,33.29,57.5,50.89,-24.2
2009,Tioga,PDI_18,Urinary Tract Infection,26.98,28.68,41.15,-1.7
2010,Tioga,PDI_18,Urinary Tract Infection,45.82,29.38,65.65,16.45
2011,Tioga,PDI_18,Urinary Tract Infection,8.8,26.64,13.07,-17.84
2012,Tioga,PDI_18,Urinary Tract Infection,41.62,23.81,59.47,17.81
2009,Tioga,PDI_90,Pediatric Quality Overall Composite,101.19,158.45,170.8,-57.26
2010,Tioga,PDI_90,Pediatric Quality Overall Composite,91.28,138.66,155.06,-47.38
2011,Tioga,PDI_90,Pediatric Quality Overall Composite,99.6,139.59,164.99,-39.99
2012,Tioga,PDI_90,Pediatric Quality Overall Composite,140.07,120.78,260.56,19.29
2009,Tioga,PDI_91,Pediatric Quality Acute Composite,37.95,57.38,48.43,-19.43
2010,Tioga,PDI_91,Pediatric Quality Acute Composite,52.16,56.21,66.19,-4.05
2011,Tioga,PDI_91,Pediatric Quality Acute Composite,24.9,51.9,30.6,-27
2012,Tioga,PDI_91,Pediatric Quality Acute Composite,58.36,42.44,79.64,15.93
2009,Tioga,PDI_92,Pediatric Quality Chronic Composite,63.24,101.08,121.53,-37.84
2010,Tioga,PDI_92,Pediatric Quality Chronic Composite,39.12,82.45,77.92,-43.33
2011,Tioga,PDI_92,Pediatric Quality Chronic Composite,74.7,87.68,142.65,-12.98
2012,Tioga,PDI_92,Pediatric Quality Chronic Composite,81.71,78.34,173.93,3.37
2009,Tompkins,PDI_14,Asthma,135.94,158.36,208.46,-22.42
2010,Tompkins,PDI_14,Asthma,90.53,129.56,143.79,-39.03
2011,Tompkins,PDI_14,Asthma,84.58,131.18,133,-46.6
2012,Tompkins,PDI_14,Asthma,27.16,136.59,41.84,-109.42
2009,Tompkins,PDI_15,Diabetes Short-term Complications,0,25.42,0,-25.42
2010,Tompkins,PDI_15,Diabetes Short-term Complications,0,22.26,0,-22.26
2011,Tompkins,PDI_15,Diabetes Short-term Complications,0,22.85,0,-22.85
2012,Tompkins,PDI_15,Diabetes Short-term Complications,0,23.03,0,-23.03
2009,Tompkins,PDI_16,Gastroenteritis,91.97,115.91,103.41,-23.95
2010,Tompkins,PDI_16,Gastroenteritis,61.16,82.31,76.18,-21.16
2011,Tompkins,PDI_16,Gastroenteritis,103.06,86.6,118.72,16.45
2012,Tompkins,PDI_16,Gastroenteritis,36.22,72.65,43.82,-36.43
2009,Tompkins,PDI_18,Urinary Tract Infection,18.39,35.63,22.58,-17.24
2010,Tompkins,PDI_18,Urinary Tract Infection,12.23,34.83,14.78,-22.6
2011,Tompkins,PDI_18,Urinary Tract Infection,5.73,32.59,6.95,-26.87
2012,Tompkins,PDI_18,Urinary Tract Infection,15.52,32.11,16.45,-16.58
2009,Tompkins,PDI_90,Pediatric Quality Overall Composite,133.91,193.29,185.29,-59.38
2010,Tompkins,PDI_90,Pediatric Quality Overall Composite,44.94,164.41,64.39,-119.47
2011,Tompkins,PDI_90,Pediatric Quality Overall Composite,83.24,167.82,114.69,-84.58
2012,Tompkins,PDI_90,Pediatric Quality Overall Composite,28.88,161.43,40.19,-132.55
2009,Tompkins,PDI_91,Pediatric Quality Acute Composite,62.49,63.06,72.57,-0.57
2010,Tompkins,PDI_91,Pediatric Quality Acute Composite,35.95,61.24,41.88,-25.29
2011,Tompkins,PDI_91,Pediatric Quality Acute Composite,58.27,56.9,65.32,1.37
2012,Tompkins,PDI_91,Pediatric Quality Acute Composite,21.66,52.84,23.73,-31.18
2009,Tompkins,PDI_92,Pediatric Quality Chronic Composite,71.42,130.23,106.51,-58.81
2010,Tompkins,PDI_92,Pediatric Quality Chronic Composite,8.99,103.17,14.31,-94.18
2011,Tompkins,PDI_92,Pediatric Quality Chronic Composite,24.97,110.92,37.7,-85.95
2012,Tompkins,PDI_92,Pediatric Quality Chronic Composite,7.22,108.59,11.09,-101.37
2009,Ulster,PDI_14,Asthma,67.5,160.77,101.95,-93.27
2010,Ulster,PDI_14,Asthma,68.9,134.52,105.4,-65.62
2011,Ulster,PDI_14,Asthma,84.34,136.31,127.63,-51.97
2012,Ulster,PDI_14,Asthma,86.58,146.26,124.54,-59.68
2009,Ulster,PDI_15,Diabetes Short-term Complications,11.39,25.42,12.42,-14.03
2010,Ulster,PDI_15,Diabetes Short-term Complications,0,22.46,0,-22.46
2011,Ulster,PDI_15,Diabetes Short-term Complications,7.9,23.12,8.53,-15.22
2012,Ulster,PDI_15,Diabetes Short-term Complications,7.55,21.9,8.19,-14.35
2009,Ulster,PDI_16,Gastroenteritis,64.48,112.48,74.72,-48
2010,Ulster,PDI_16,Gastroenteritis,46.55,82.53,57.84,-35.97
2011,Ulster,PDI_16,Gastroenteritis,49.94,86.37,57.69,-36.43
2012,Ulster,PDI_16,Gastroenteritis,45.34,74.2,53.7,-28.86
2009,Ulster,PDI_18,Urinary Tract Infection,32.24,34.72,40.63,-2.48
2010,Ulster,PDI_18,Urinary Tract Infection,16.43,35.24,19.63,-18.81
2011,Ulster,PDI_18,Urinary Tract Infection,22.2,32.88,26.7,-10.69
2012,Ulster,PDI_18,Urinary Tract Infection,10.67,30.99,11.71,-20.32
2009,Ulster,PDI_90,Pediatric Quality Overall Composite,75.92,198.65,102.22,-122.73
2010,Ulster,PDI_90,Pediatric Quality Overall Composite,78.12,173.21,106.23,-95.1
2011,Ulster,PDI_90,Pediatric Quality Overall Composite,102.74,174.91,135.82,-72.17
2012,Ulster,PDI_90,Pediatric Quality Overall Composite,86.85,172.8,112.91,-85.96
2009,Ulster,PDI_91,Pediatric Quality Acute Composite,30.37,63.74,34.89,-33.37
2010,Ulster,PDI_91,Pediatric Quality Acute Composite,23.44,62.53,26.74,-39.09
2011,Ulster,PDI_91,Pediatric Quality Acute Composite,35.57,57.64,39.36,-22.07
2012,Ulster,PDI_91,Pediatric Quality Acute Composite,30.21,52.46,33.35,-22.25
2009,Ulster,PDI_92,Pediatric Quality Chronic Composite,45.55,134.91,65.58,-89.36
2010,Ulster,PDI_92,Pediatric Quality Chronic Composite,54.68,110.68,81.13,-56
2011,Ulster,PDI_92,Pediatric Quality Chronic Composite,67.18,117.27,95.92,-50.09
2012,Ulster,PDI_92,Pediatric Quality Chronic Composite,56.64,120.34,78.48,-63.7
2009,Warren,PDI_14,Asthma,39.31,122.06,78.21,-82.74
2010,Warren,PDI_14,Asthma,121.22,98.35,253.63,22.87
2011,Warren,PDI_14,Asthma,24.31,98.66,50.83,-74.35
2012,Warren,PDI_14,Asthma,77.46,97.22,167.63,-19.76
2009,Warren,PDI_15,Diabetes Short-term Complications,74.6,22.71,91.07,51.9
2010,Warren,PDI_15,Diabetes Short-term Complications,32.97,20.02,40.73,12.95
2011,Warren,PDI_15,Diabetes Short-term Complications,32.87,20.89,39.26,11.98
2012,Warren,PDI_15,Diabetes Short-term Complications,10.41,18.36,13.46,-7.95
2009,Warren,PDI_16,Gastroenteritis,105.24,105.97,129.43,-0.73
2010,Warren,PDI_16,Gastroenteritis,115.88,70.89,167.61,44.99
2011,Warren,PDI_16,Gastroenteritis,46.51,78.04,59.46,-31.53
2012,Warren,PDI_16,Gastroenteritis,14.84,59.51,21.91,-44.67
2009,Warren,PDI_18,Urinary Tract Infection,45.1,29.22,67.52,15.88
2010,Warren,PDI_18,Urinary Tract Infection,54.08,29.33,77.6,24.75
2011,Warren,PDI_18,Urinary Tract Infection,54.26,26.86,79.89,27.4
2012,Warren,PDI_18,Urinary Tract Infection,29.68,24.88,40.58,4.8
2009,Warren,PDI_90,Pediatric Quality Overall Composite,191.84,157.16,326.46,34.67
2010,Warren,PDI_90,Pediatric Quality Overall Composite,197.82,135.76,343.24,62.06
2011,Warren,PDI_90,Pediatric Quality Overall Composite,120.54,137.89,202.12,-17.35
2012,Warren,PDI_90,Pediatric Quality Overall Composite,104.09,123.45,189.44,-19.36
2009,Warren,PDI_91,Pediatric Quality Acute Composite,85.26,57.35,108.87,27.91
2010,Warren,PDI_91,Pediatric Quality Acute Composite,43.96,55.84,56.16,-11.88
2011,Warren,PDI_91,Pediatric Quality Acute Composite,65.75,51.95,80.71,13.79
2012,Warren,PDI_91,Pediatric Quality Acute Composite,31.23,43.51,41.56,-12.29
2009,Warren,PDI_92,Pediatric Quality Chronic Composite,106.58,99.81,207.39,6.77
2010,Warren,PDI_92,Pediatric Quality Chronic Composite,153.86,79.92,316.15,73.94
2011,Warren,PDI_92,Pediatric Quality Chronic Composite,54.79,85.93,106.76,-31.15
2012,Warren,PDI_92,Pediatric Quality Chronic Composite,72.86,79.94,152,-7.07
2009,Washington,PDI_14,Asthma,65.04,114.24,138.25,-49.2
2010,Washington,PDI_14,Asthma,99.59,93.07,220.19,6.52
2011,Washington,PDI_14,Asthma,41.2,92.81,91.57,-51.61
2012,Washington,PDI_14,Asthma,23.41,92.41,53.29,-69
2009,Washington,PDI_15,Diabetes Short-term Complications,65.95,22.95,79.66,43
